Mass,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12,sample13,sample14,sample15,sample16,sample17,sample18,sample19,sample20,sample21,sample22,sample23,sample24
265.1809178,2551263,3538932,7532629,4208447,2921458,0,0,0,2915805,0,0,0,0,7194762,0,5599354,4836248,4385980,0,2710381,4202805,2615053,3519609,6030195
266.0128487,0,6118209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5565431,0
266.0306125,0,0,0,0,0,0,0,0,2390837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266.0492539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3516429,0,0,0,0,0,0
266.0822589,0,2337440,3251808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266.0881212,0,0,0,0,0,0,0,0,2265891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266.1033752,0,0,0,0,0,7899370,0,0,0,0,6666464,0,0,0,0,0,0,0,0,0,0,0,0,0
266.1332536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2166019,0,0,0,0,0,0
266.1761595,0,0,0,0,0,0,0,2835529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266.2489506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2455415,0,0,0,0,0
266.9539817,0,0,0,0,0,0,0,0,2247492,0,0,0,0,0,0,0,0,0,0,0,0,0,2320252,0
266.9968893,0,0,10980563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9657301,0,0,0,0,0,0
267.008099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5760569,0,3787242,0,0,0,0,0,0
267.0146411,0,0,0,0,2114238,2848626,0,2211023,0,0,0,0,0,14173479,4203495,8200426,5511953,0,0,0,2477351,2473748,0,0
267.0155204,0,0,2971412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267.0298908,0,3193309,3417326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2527907,0,0,0,2327156,0
267.0332671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14484635,0,0,0,0,0,0
267.0366162,0,0,0,0,2286657,0,0,0,0,0,0,0,0,0,0,4924388,0,0,0,0,0,0,0,0
267.0366565,0,0,0,0,0,0,0,0,0,0,0,0,32371164,0,0,0,0,0,0,0,0,0,0,0
267.0444764,0,3407283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267.0510254,34077117,54783517,46270003,21753412,53441832,53326118,24382686,35408186,49372488,25333569,51307646,9470103,89614067,99853156,17400538,164966539,110331847,40616509,65686887,35907286,52754105,41503577,84918918,82762590
267.0543698,0,0,0,4781704,0,8343660,3002003,0,0,6616005,0,0,0,0,0,41772948,0,6664131,8496173,0,6553855,0,12900107,11989796
267.0544085,0,0,3982921,0,0,0,0,0,0,0,0,0,17415801,18912234,0,0,108182479,0,0,0,0,10981790,0,0
267.0622535,0,9727215,0,3797059,0,0,3135902,5768845,0,0,8053902,0,0,0,0,11973416,0,0,6132827,0,0,0,12740055,13160627
267.0662814,0,4955957,8606734,0,0,0,0,2290443,0,0,0,0,0,0,0,4311059,0,2608858,0,2381648,3627381,2747407,3727230,4488282
267.0849277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4881956,0,0,0,0,0,0,0,0
